"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"Microsoft","Microsoft Windows","NW-LR0BQDNC.odeabank.com.tr","10.225.178.94","5"
"Microsoft","Microsoft Windows","OBTVM-DRTRM23.odeabank.com.tr","10.224.172.13","5"
"Microsoft","Microsoft Windows","OBTVM-TST32BP1.odeabank.com.tr","10.224.115.163","5"
"Microsoft","Microsoft Windows","OBTVM-TSTATMD1.odeabank.com.tr","10.224.22.151","5"
"Microsoft","Microsoft Windows","OBTVM-TSTHCZ1.odeabank.com.tr","10.224.115.151","5"
"Microsoft","Microsoft Windows","OBTVM-TSTIXCUI1.odeabank.com.tr","10.224.107.115","5"
"Microsoft","Microsoft Windows","OBTVM-TSTIXGW11.odeabank.com.tr","10.224.22.111","5"
"Microsoft","Microsoft Windows","OBTVM-TSTOCGW1.odeabank.com.tr","10.224.22.171","5"
"Microsoft","Microsoft Windows","OBTVM-TSTPPMAP1.odeabank.com.tr","10.224.59.61","5"
"Microsoft","Microsoft Windows","PC9019-0705.odeabank.com.tr","10.225.201.96","5"
"Microsoft","Microsoft Windows","PW1200-0010.odeabank.com.tr","10.225.29.64","5"
"Microsoft","Microsoft Windows","PW2310-0008.odeabank.com.tr","10.225.15.197","5"
"Microsoft","Microsoft Windows","PW9019-0336.odeabank.com.tr","10.225.208.219","5"
"Microsoft","Microsoft Windows","PWG1180-0001.odeabank.com.tr","10.225.41.50","5"
"Microsoft","Microsoft Windows","PWG2310-0002.odeabank.com.tr","10.225.15.81","5"
"Microsoft","Microsoft Windows PowerShell","PW9019-0056.odeabank.com.tr","10.225.208.194","5"
"Microsoft","Microsoft Windows PowerShell","PW9019-0440.odeabank.com.tr","10.225.208.53","5"
"Microsoft","SQL Server","OBTVM-DRSWFDB1.odeabank.com.tr","10.224.191.71","5"
"Microsoft","System or Application Event","CWP-0001.odeabank.com.tr","10.225.236.46","5"
"Microsoft","System or Application Event","DSTE1140-01","10.225.65.220","5"
"Microsoft","System or Application Event","DSWB2060-LED.odeabank.com.tr","10.225.36.148","5"
